timestamp,event_code,parameter
1784503801.3,81,34
1784503801.8,82,35
1784503802.3,81,35
1784503802.5,82,48
1784503802.6,81,33
1784503803.0,81,48
1784503803.2,82,33
1784503803.2,82,34
1784503804.5,82,35
1784503804.8,82,47
1784503804.9,81,33
1784503804.9,81,34
1784503805.3,81,47
1784503806.5,81,26
1784503806.7,82,34
1784503806.9,82,26
1784503807.0,82,33
1784503807.3,81,35
1784503807.6,82,47
1784503807.9,81,34
1784503808.1,82,48
1784503808.4,81,47
1784503808.6,81,48
1784503808.6,82,46
1784503809.0,82,17
1784503809.0,82,34
1784503809.2,81,33
1784503809.3,82,33
1784503809.7,82,2
1784503809.8,82,47
1784503810.0,81,34
1784503810.2,81,46
1784503810.8,81,47
1784503810.8,82,46
1784503811.0,81,2
1784503811.2,82,34
1784503811.2,82,35
1784503811.9,82,2
1784503812.1,81,34
1784503812.1,81,46
1784503812.4,82,47
1784503812.9,81,47
1784503813.0,81,35
1784503813.0,82,46
1784503813.2,81,2
1784503813.3,81,17
1784503813.3,81,33
1784503813.7,82,17
1784503814.0,82,33
1784503814.3,81,46
1784503814.3,82,19
1784503814.4,82,2
1784503815.0,81,19
1784503815.2,81,33
1784503815.6,82,33
1784503815.7,81,17
1784503815.8,81,2
1784503816.2,82,34
1784503816.3,82,46
1784503816.4,82,35
1784503816.7,82,17
1784503817.0,81,34
1784503817.5,82,2
1784503817.8,81,46
1784503817.9,81,35
1784503818.2,82,46
1784503818.7,81,33
1784503819.1,82,36
1784503819.2,82,35
1784503819.4,81,46
1784503820.0,81,26
1784503820.3,81,35
1784503820.7,81,17
1784503820.7,81,36
1784503820.7,82,26
1784503820.8,81,2
1784503820.8,82,33
1784503821.9,81,33
1784503821.9,82,34
1784503822.1,82,35
1784503822.9,81,34
1784503823.0,81,35
1784503823.1,81,26
1784503823.5,82,34
1784503824.4,81,34
1784503824.5,82,35
1784503825.9,82,34
1784503826.3,81,35
1784503826.7,81,34
1784503826.7,82,26
1784503826.7,82,33
1784503827.4,81,33
1784503828.3,82,33
1784503829.0,82,34
1784503829.5,82,36
1784503829.6,81,33
1784503829.8,81,34
1784503830.0,82,35
1784503830.4,81,36
1784503830.4,82,33
1784503830.6,81,35
1784503831.5,82,34
1784503831.5,82,47
1784503831.8,82,35
1784503831.9,81,33
1784503832.0,81,47
1784503832.2,81,34
1784503832.2,82,36
1784503832.8,81,35
1784503833.2,81,26
1784503833.2,81,36
1784503833.3,82,34
1784503833.4,82,33
1784503833.6,82,26
1784503834.0,82,19
1784503834.0,82,35
1784503834.0,82,47
1784503834.1,81,34
1784503834.2,81,19
1784503834.5,81,47
1784503834.8,81,33
1784503834.9,81,35
1784503835.1,82,46
1784503835.8,81,26
1784503835.8,82,17
1784503835.8,82,34
1784503835.8,82,47
1784503835.9,82,33
1784503836.0,81,46
1784503836.2,82,2
1784503836.3,82,19
1784503836.3,82,26
1784503836.4,81,47
1784503836.5,81,34
1784503836.5,82,35
1784503836.8,81,19
1784503836.9,81,33
1784503837.0,82,47
1784503837.1,81,17
1784503837.4,81,2
1784503837.5,82,46
1784503837.7,81,47
1784503837.7,82,34
1784503838.1,82,17
1784503838.2,81,35
1784503838.4,81,46
1784503838.4,82,33
1784503838.5,81,34
1784503838.5,82,35
1784503838.7,82,2
1784503838.8,81,33
1784503839.4,81,35
1784503839.5,81,17
1784503839.5,82,46
1784503839.8,81,2
1784503839.9,81,26
1784503839.9,82,17
1784503840.0,82,36
1784503840.4,82,33
1784503840.4,82,34
1784503840.5,81,46
1784503840.6,82,2
1784503840.6,82,26
1784503840.9,81,36
1784503841.4,82,46
1784503841.7,81,2
1784503842.0,81,34
1784503842.2,81,33
1784503842.4,81,46
1784503842.5,82,33
1784503842.5,82,34
1784503842.6,82,2
1784503843.3,82,45
1784503843.5,81,2
1784503843.5,81,34
1784503843.6,81,17
1784503843.7,81,33
1784503844.0,81,45
1784503844.0,82,35
1784503844.9,82,31
1784503844.9,82,43
1784503845.0,81,35
1784503845.2,81,26
1784503845.4,81,31
1784503845.6,82,26
1784503845.6,82,33
