timestamp,event_code,parameter
1785684600.6,82,3
1785684600.8,81,3
1785684600.9,81,26
1785684600.9,82,3
1785684601.1,82,47
1785684601.7,81,3
1785684601.8,81,47
1785684608.2,82,46
1785684608.3,82,17
1785684609.1,82,2
1785684609.2,81,39
1785684611.4,82,40
1785684612.0,81,40
1785684612.1,82,36
1785684612.9,81,38
1785684612.9,82,40
1785684613.1,82,38
1785684613.3,81,36
1785684613.4,81,40
1785684614.2,81,7
1785684614.5,82,7
1785684614.9,82,35
1785684615.6,81,38
1785684615.6,82,40
1785684615.8,81,35
1785684616.1,81,40
1785684616.6,81,24
1785684616.9,81,7
1785684617.3,82,36
1785684617.9,82,34
1785684618.0,81,36
1785684619.4,81,34
1785684620.4,82,35
1785684620.7,82,36
1785684621.1,82,34
1785684621.2,81,35
1785684621.5,81,36
1785684622.0,81,34
1785684623.5,82,26
1785684623.9,82,33
1785684624.1,82,34
1785684624.3,82,35
1785684624.3,82,36
1785684625.1,81,34
1785684625.1,81,36
1785684625.3,81,35
1785684625.8,82,35
1785684626.2,82,48
1785684626.8,81,48
1785684626.9,81,35
1785684628.3,82,35
1785684628.6,82,47
1785684628.9,81,33
1785684629.0,82,34
1785684629.3,81,47
1785684629.4,81,35
1785684630.4,81,34
1785684630.5,81,46
1785684630.7,82,33
1785684631.1,82,19
1785684631.5,82,34
1785684631.7,81,17
1785684631.7,81,19
1785684631.9,81,2
1785684632.8,81,34
1785684633.0,82,46
1785684633.1,81,33
1785684633.4,82,17
1785684633.4,82,33
1785684633.6,82,47
1785684634.2,81,46
1785684634.2,81,47
1785684634.2,82,2
1785684634.5,82,34
1785684635.0,82,48
1785684635.4,81,17
1785684635.5,81,33
1785684635.5,81,48
1785684635.6,81,2
1785684636.0,81,34
1785684636.1,82,19
1785684636.4,81,19
1785684636.4,81,26
1785684636.5,82,33
1785684636.8,82,26
1785684637.2,82,46
1785684637.3,82,47
1785684637.8,82,17
1785684637.9,81,47
1785684638.2,81,46
1785684638.3,82,2
1785684639.4,81,2
1785684639.4,81,17
1785684639.4,82,19
1785684639.8,81,33
1785684640.2,81,19
1785684640.5,82,48
1785684640.7,82,33
1785684640.7,82,46
1785684641.0,81,48
1785684641.1,82,17
1785684641.6,81,46
1785684641.9,81,33
1785684642.0,82,2
1785684642.8,81,17
1785684642.9,81,2
1785684643.0,82,47
1785684643.1,81,26
1785684643.6,81,47
1785684647.3,82,47
1785684647.6,81,47
1785684647.8,82,46
1785684648.0,82,19
1785684648.1,82,47
1785684648.4,82,17
1785684648.5,82,36
1785684648.7,81,19
1785684648.8,81,47
1785684648.9,81,36
1785684649.0,82,2
1785684649.9,81,46
1785684650.0,82,19
1785684650.4,81,19
1785684650.5,82,46
1785684650.6,82,35
1785684650.7,82,47
1785684651.1,81,35
1785684651.2,81,47
1785684651.4,81,2
1785684651.6,82,2
1785684651.6,82,19
