event_timestamp,local_timestamp,intersection_id,trigger_id,action,rule,pair_key,det_a,det_b,det_a_type,det_b_type,event_start_ts,event_end_ts,disagreement_sec,max_duration_sec,cameras,description
1785612451.909,2026-08-01 13:27:31.908563,201,90217f10d2144b03a160abf0675d4fad,start,rule1_continuous_disagreement,31:8,31,8,video,video,1785612446.870,,5.039,300.0,fisheye,"detector '8' ON, detector '31' OFF for 5.039s (threshold=5.0s)"
1785612451.914,2026-08-01 13:27:31.914152,201,c19490aea721466d9946b78afa586661,start,rule1_continuous_disagreement,42:8,8,42,video,radar,1785612446.869,,5.045,300.0,fisheye,"detector '8' ON, detector '42' OFF for 5.045s (threshold=5.0s)"
1785612457.685,2026-08-01 13:27:37.685245,201,90217f10d2144b03a160abf0675d4fad,stop,rule1_continuous_disagreement,31:8,31,8,video,video,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.1s post-roll
1785612457.689,2026-08-01 13:27:37.688900,201,c19490aea721466d9946b78afa586661,stop,rule1_continuous_disagreement,42:8,8,42,video,radar,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.1s post-roll
1785612491.612,2026-08-01 13:28:11.611826,201,bce0ae77685a45869fc4d7dfc2a86801,start,rule1_continuous_disagreement,22:39,39,22,radar,video,1785612486.569,,5.043,300.0,fisheye,"detector '39' ON, detector '22' OFF for 5.043s (threshold=5.0s)"
1785612491.618,2026-08-01 13:28:11.618363,201,a3e5e9b02e054be4a83dd71224d14168,start,rule1_continuous_disagreement,39:4,4,39,video,radar,1785612486.568,,5.05,300.0,fisheye,"detector '39' ON, detector '4' OFF for 5.05s (threshold=5.0s)"
1785612499.291,2026-08-01 13:28:19.291439,201,2d415a28538f417d9203c53e00cb7c12,start,rule2_orphan_pulse,30:41,41,30,radar,video,1785612491.966,1785612494.246,2.28,17.28,fisheye,"orphan on detector '30': orphan pulse duration=2.28s window=[1785612486.966, 1785612499.246]"
1785612500.604,2026-08-01 13:28:20.604245,201,338a7e27dc5043a8beb02a580fa5bf6a,start,rule2_orphan_pulse,3:41,3,41,video,radar,1785612493.918,1785612495.542,1.624,16.624000000000002,fisheye,"orphan on detector '3': orphan pulse duration=1.624s window=[1785612488.918, 1785612500.542]"
1785612522.394,2026-08-01 13:28:42.393894,201,bce0ae77685a45869fc4d7dfc2a86801,stop,rule1_continuous_disagreement,22:39,39,22,radar,video,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.0s post-roll
1785612522.396,2026-08-01 13:28:42.396123,201,a3e5e9b02e054be4a83dd71224d14168,stop,rule1_continuous_disagreement,39:4,4,39,video,radar,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.0s post-roll
1785612544.386,2026-08-01 13:29:04.386271,201,59561272909943df9c9cb326a5fab076,start,rule1_continuous_disagreement,42:8,8,42,video,radar,1785612539.341,,5.045,300.0,fisheye,"detector '8' ON, detector '42' OFF for 5.045s (threshold=5.0s)"
1785612545.297,2026-08-01 13:29:05.296983,201,0ed05e1cd8ae4860a8865f11a0eae574,start,rule2_orphan_pulse,31:42,42,31,radar,video,1785612539.327,1785612540.293,0.966,15.966000000000001,fisheye,"orphan on detector '42': orphan pulse duration=0.966s window=[1785612534.327, 1785612545.293]"
1785612545.401,2026-08-01 13:29:05.400608,201,6df5f81da4e645c9b6f891a7e95073ca,start,rule1_continuous_disagreement,31:8,31,8,video,video,1785612540.350,,5.051,300.0,fisheye,"detector '8' ON, detector '31' OFF for 5.051s (threshold=5.0s)"
1785612552.476,2026-08-01 13:29:12.476372,201,6df5f81da4e645c9b6f891a7e95073ca,stop,rule1_continuous_disagreement,31:8,31,8,video,video,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.1s post-roll
1785612552.479,2026-08-01 13:29:12.479472,201,59561272909943df9c9cb326a5fab076,stop,rule1_continuous_disagreement,42:8,8,42,video,radar,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.1s post-roll
1785612612.064,2026-08-01 13:30:12.064390,201,c1ee47c9db7c43bdadd24587b6bb58ea,start,rule1_continuous_disagreement,39:4,4,39,video,radar,1785612607.015,,5.049,300.0,fisheye,"detector '4' ON, detector '39' OFF for 5.049s (threshold=5.0s)"
1785612617.872,2026-08-01 13:30:17.872486,201,c1ee47c9db7c43bdadd24587b6bb58ea,stop,rule1_continuous_disagreement,39:4,4,39,video,radar,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.0s post-roll
