event_timestamp,local_timestamp,intersection_id,trigger_id,action,rule,pair_key,det_a,det_b,det_a_type,det_b_type,event_start_ts,event_end_ts,disagreement_sec,max_duration_sec,cameras,description,dedup_group,suppressed_as_duplicate,duplicate_of_trigger_id
1785685165.552,2026-08-02 09:39:25.551820,201,c68a908216de4afbad363ef8fc740efe,start,rule1_continuous_disagreement,17:46,46,17,radar,video,1785685160.504,,5.048,300.0,fisheye,"detector '46' ON, detector '17' OFF for 5.048s (threshold=5.0s)",2:17:46,0,
1785685165.558,2026-08-02 09:39:25.557893,201,6c895763447c4315b6c4464ba5502deb,start,rule1_continuous_disagreement,17:2,17,2,video,video,1785685160.505,,5.053,300.0,fisheye,"detector '2' ON, detector '17' OFF for 5.053s (threshold=5.0s)",2:17:46,1,c68a908216de4afbad363ef8fc740efe
1785685174.325,2026-08-02 09:39:34.324610,201,2965c048cb8b45e3b3cfa8252237b98a,start,rule2_orphan_pulse,31:8,31,8,video,video,1785685164.514,1785685169.315,4.8,19.8,fisheye,"orphan on detector '8': orphan pulse duration=4.8s window=[1785685159.514, 1785685174.315]",8:31:42,0,
1785685174.334,2026-08-02 09:39:34.333560,201,f1cd8e77ed88458fa9657d165395e01d,start,rule2_orphan_pulse,42:8,8,42,video,radar,1785685164.514,1785685169.315,4.8,19.8,fisheye,"orphan on detector '8': orphan pulse duration=4.8s window=[1785685159.514, 1785685174.315]",8:31:42,1,2965c048cb8b45e3b3cfa8252237b98a
1785685184.329,2026-08-02 09:39:44.329084,201,c68a908216de4afbad363ef8fc740efe,stop,rule1_continuous_disagreement,17:46,46,17,radar,video,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.0s post-roll,2:17:46,0,
1785685196.030,2026-08-02 09:39:56.029865,201,916bc126fa194cfe8f49d283199bda5d,start,rule1_continuous_disagreement,22:39,39,22,radar,video,1785685190.990,,5.04,300.0,fisheye,"detector '39' ON, detector '22' OFF for 5.04s (threshold=5.0s)",4:22:39,0,
1785685196.034,2026-08-02 09:39:56.033563,201,56fdf89d807844558f66f32bc5eadc12,start,rule1_continuous_disagreement,39:4,4,39,video,radar,1785685190.991,,5.043,300.0,fisheye,"detector '39' ON, detector '4' OFF for 5.043s (threshold=5.0s)",4:22:39,1,916bc126fa194cfe8f49d283199bda5d
1785685245.264,2026-08-02 09:40:45.263513,201,916bc126fa194cfe8f49d283199bda5d,stop,rule1_continuous_disagreement,22:39,39,22,radar,video,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.0s post-roll,4:22:39,0,
1785685273.536,2026-08-02 09:41:13.535753,201,21599dd629344c7cb6191c145b4b5869,start,rule2_orphan_pulse,24:38,38,24,radar,video,1785685265.861,1785685268.445,2.584,17.584,fisheye,"orphan on detector '38': orphan pulse duration=2.584s window=[1785685260.861, 1785685273.445]",7:24:38,0,
1785685273.538,2026-08-02 09:41:13.538166,201,71a63b67fd4446f6b3f1f64413f976c3,start,rule2_orphan_pulse,38:7,7,38,video,radar,1785685265.861,1785685268.445,2.584,17.584,fisheye,"orphan on detector '38': orphan pulse duration=2.584s window=[1785685260.861, 1785685273.445]",7:24:38,1,21599dd629344c7cb6191c145b4b5869
1785685304.111,2026-08-02 09:41:44.111171,201,bb1e32ebc8e5435ca595efe0f13d365c,start,rule1_continuous_disagreement,42:8,8,42,video,radar,1785685299.080,,5.031,300.0,fisheye,"detector '8' ON, detector '42' OFF for 5.031s (threshold=5.0s)",8:31:42,0,
1785685305.227,2026-08-02 09:41:45.226857,201,9fd60c87ec364d999628f8096bf41514,start,rule2_orphan_pulse,31:42,42,31,radar,video,1785685298.998,1785685300.135,1.137,16.137,fisheye,"orphan on detector '42': orphan pulse duration=1.137s window=[1785685293.998, 1785685305.135]",8:31:42,0,
1785685309.672,2026-08-02 09:41:49.671992,201,8bd38b70a30a4dc1ab14050f5b682c32,start,rule2_orphan_pulse,31:8,31,8,video,video,1785685300.135,1785685304.649,4.515,19.515,fisheye,"orphan on detector '8': orphan pulse duration=4.515s window=[1785685295.135, 1785685309.649]",8:31:42,0,
1785685309.780,2026-08-02 09:41:49.780188,201,bb1e32ebc8e5435ca595efe0f13d365c,stop,rule1_continuous_disagreement,42:8,8,42,video,radar,,,0.0,300.0,fisheye,Rule 1 recording stopped after 5.1s post-roll,8:31:42,0,
1785685357.526,2026-08-02 09:42:37.525703,201,736abbbe57d343ada772af1635643dae,start,rule1_continuous_disagreement,22:39,39,22,radar,video,1785685352.476,,5.05,300.0,fisheye,"detector '39' ON, detector '22' OFF for 5.05s (threshold=5.0s)",4:22:39,0,
