event_timestamp,local_timestamp,intersection_id,reason,rule,pair_key,det_a,det_b,det_a_type,det_b_type,orphan_det,slot,event_start_ts,event_end_ts,pulse_duration_sec,min_pulse_sec,sampling_floor_sec,min_pulse_floor_multiple,description
1785685157.578,2026-08-02 09:39:17.578279,201,below_sampling_floor,rule2_orphan_pulse,17:46,46,17,radar,video,17,b,1785685155.683,1785685157.531,1.849,3.2,1.6,2.0,orphan candidate on detector '17' not registered: pulse 1.849s < gate 3.200s
1785685157.581,2026-08-02 09:39:17.581290,201,below_sampling_floor,rule2_orphan_pulse,17:2,17,2,video,video,17,a,1785685155.683,1785685157.531,1.849,3.2,1.6,2.0,orphan candidate on detector '17' not registered: pulse 1.849s < gate 3.200s
1785685160.504,2026-08-02 09:39:20.503762,201,below_sampling_floor,rule2_orphan_pulse,17:46,46,17,radar,video,17,b,1785685158.254,1785685160.460,2.206,3.2,1.6,2.0,orphan candidate on detector '17' not registered: pulse 2.206s < gate 3.200s
1785685160.505,2026-08-02 09:39:20.504805,201,below_sampling_floor,rule2_orphan_pulse,17:2,17,2,video,video,17,a,1785685158.254,1785685160.460,2.206,3.2,1.6,2.0,orphan candidate on detector '17' not registered: pulse 2.206s < gate 3.200s
1785685161.917,2026-08-02 09:39:21.916564,201,below_sampling_floor,rule2_orphan_pulse,22:4,22,4,video,video,4,b,1785685158.999,1785685161.907,2.908,3.2,1.6,2.0,orphan candidate on detector '4' not registered: pulse 2.908s < gate 3.200s
1785685161.918,2026-08-02 09:39:21.917927,201,below_sampling_floor,rule2_orphan_pulse,39:4,4,39,video,radar,4,a,1785685158.999,1785685161.907,2.908,3.2,1.6,2.0,orphan candidate on detector '4' not registered: pulse 2.908s < gate 3.200s
1785685177.467,2026-08-02 09:39:37.467409,201,below_sampling_floor,rule2_orphan_pulse,30:41,41,30,radar,video,30,b,1785685175.992,1785685177.451,1.459,3.2,1.6,2.0,orphan candidate on detector '30' not registered: pulse 1.459s < gate 3.200s
1785685177.467,2026-08-02 09:39:37.467409,201,below_sampling_floor,rule2_orphan_pulse,3:30,30,3,video,video,30,a,1785685175.992,1785685177.451,1.459,3.2,1.6,2.0,orphan candidate on detector '30' not registered: pulse 1.459s < gate 3.200s
1785685178.578,2026-08-02 09:39:38.578023,201,below_sampling_floor,rule2_orphan_pulse,3:30,30,3,video,video,3,b,1785685177.451,1785685178.535,1.084,3.2,1.6,2.0,orphan candidate on detector '3' not registered: pulse 1.084s < gate 3.200s
1785685178.580,2026-08-02 09:39:38.580199,201,below_sampling_floor,rule2_orphan_pulse,3:41,3,41,video,radar,3,a,1785685177.451,1785685178.535,1.084,3.2,1.6,2.0,orphan candidate on detector '3' not registered: pulse 1.084s < gate 3.200s
1785685182.713,2026-08-02 09:39:42.712642,201,below_sampling_floor,rule2_orphan_pulse,22:39,39,22,radar,video,39,a,1785685180.388,1785685182.632,2.244,3.2,1.6,2.0,orphan candidate on detector '39' not registered: pulse 2.244s < gate 3.200s
1785685182.715,2026-08-02 09:39:42.715164,201,below_sampling_floor,rule2_orphan_pulse,39:4,4,39,video,radar,39,b,1785685180.388,1785685182.632,2.244,3.2,1.6,2.0,orphan candidate on detector '39' not registered: pulse 2.244s < gate 3.200s
1785685189.374,2026-08-02 09:39:49.374057,201,below_sampling_floor,rule2_orphan_pulse,30:41,41,30,radar,video,30,b,1785685186.335,1785685189.374,3.039,3.2,1.6,2.0,orphan candidate on detector '30' not registered: pulse 3.039s < gate 3.200s
1785685189.376,2026-08-02 09:39:49.375981,201,below_sampling_floor,rule2_orphan_pulse,3:30,30,3,video,video,30,a,1785685186.335,1785685189.374,3.039,3.2,1.6,2.0,orphan candidate on detector '30' not registered: pulse 3.039s < gate 3.200s
1785685200.368,2026-08-02 09:40:00.368425,201,below_sampling_floor,rule2_orphan_pulse,31:42,42,31,radar,video,42,a,1785685199.567,1785685200.322,0.755,0.7553,0.3776,2.0,orphan candidate on detector '42' not registered: pulse 0.755s < gate 0.755s
1785685200.371,2026-08-02 09:40:00.370672,201,below_sampling_floor,rule2_orphan_pulse,42:8,8,42,video,radar,42,b,1785685199.567,1785685200.322,0.755,0.7553,0.3776,2.0,orphan candidate on detector '42' not registered: pulse 0.755s < gate 0.755s
1785685224.889,2026-08-02 09:40:24.888628,201,below_sampling_floor,rule2_orphan_pulse,17:46,46,17,radar,video,17,b,1785685224.487,1785685224.871,0.384,0.7553,0.3776,2.0,orphan candidate on detector '17' not registered: pulse 0.384s < gate 0.755s
1785685224.890,2026-08-02 09:40:24.890136,201,below_sampling_floor,rule2_orphan_pulse,17:2,17,2,video,video,17,a,1785685224.487,1785685224.871,0.384,0.7553,0.3776,2.0,orphan candidate on detector '17' not registered: pulse 0.384s < gate 0.755s
1785685225.697,2026-08-02 09:40:25.696768,201,below_sampling_floor,rule2_orphan_pulse,17:2,17,2,video,video,2,b,1785685224.871,1785685225.596,0.725,0.7553,0.3776,2.0,orphan candidate on detector '2' not registered: pulse 0.725s < gate 0.755s
1785685225.699,2026-08-02 09:40:25.699014,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,2,a,1785685224.871,1785685225.596,0.725,0.7553,0.3776,2.0,orphan candidate on detector '2' not registered: pulse 0.725s < gate 0.755s
1785685267.371,2026-08-02 09:41:07.370552,201,below_sampling_floor,rule2_orphan_pulse,31:42,42,31,radar,video,42,a,1785685266.963,1785685267.332,0.368,0.7293,0.3647,2.0,orphan candidate on detector '42' not registered: pulse 0.368s < gate 0.729s
1785685267.371,2026-08-02 09:41:07.370552,201,below_sampling_floor,rule2_orphan_pulse,42:8,8,42,video,radar,42,b,1785685266.963,1785685267.332,0.368,0.7293,0.3647,2.0,orphan candidate on detector '42' not registered: pulse 0.368s < gate 0.729s
1785685275.656,2026-08-02 09:41:15.655737,201,below_sampling_floor,rule2_orphan_pulse,17:2,17,2,video,video,2,b,1785685275.235,1785685275.635,0.4,0.7293,0.3647,2.0,orphan candidate on detector '2' not registered: pulse 0.400s < gate 0.729s
1785685275.656,2026-08-02 09:41:15.655737,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,2,a,1785685275.235,1785685275.635,0.4,0.7293,0.3647,2.0,orphan candidate on detector '2' not registered: pulse 0.400s < gate 0.729s
1785685300.588,2026-08-02 09:41:40.588388,201,below_sampling_floor,rule2_orphan_pulse,29:43,43,29,radar,video,43,a,1785685300.135,1785685300.523,0.388,0.7293,0.3647,2.0,orphan candidate on detector '43' not registered: pulse 0.388s < gate 0.729s
1785685306.238,2026-08-02 09:41:46.237895,201,below_sampling_floor,rule2_orphan_pulse,26:33,33,26,radar,video,33,a,1785685305.801,1785685306.173,0.372,0.7293,0.3647,2.0,orphan candidate on detector '33' not registered: pulse 0.372s < gate 0.729s
1785685307.753,2026-08-02 09:41:47.753088,201,below_sampling_floor,rule2_orphan_pulse,26:33,33,26,radar,video,33,a,1785685307.297,1785685307.696,0.399,0.7293,0.3647,2.0,orphan candidate on detector '33' not registered: pulse 0.399s < gate 0.729s
1785685313.012,2026-08-02 09:41:53.011838,201,below_sampling_floor,rule2_orphan_pulse,17:2,17,2,video,video,2,b,1785685312.599,1785685312.975,0.376,0.7293,0.3647,2.0,orphan candidate on detector '2' not registered: pulse 0.376s < gate 0.729s
1785685313.015,2026-08-02 09:41:53.014854,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,2,a,1785685312.599,1785685312.975,0.376,0.7293,0.3647,2.0,orphan candidate on detector '2' not registered: pulse 0.376s < gate 0.729s
1785685317.168,2026-08-02 09:41:57.168276,201,below_sampling_floor,rule2_orphan_pulse,26:33,33,26,radar,video,33,a,1785685316.761,1785685317.135,0.374,0.7528,0.3764,2.0,orphan candidate on detector '33' not registered: pulse 0.374s < gate 0.753s
1785685320.197,2026-08-02 09:42:00.196758,201,below_sampling_floor,rule2_orphan_pulse,17:46,46,17,radar,video,46,a,1785685319.384,1785685320.132,0.747,0.7528,0.3764,2.0,orphan candidate on detector '46' not registered: pulse 0.747s < gate 0.753s
1785685320.197,2026-08-02 09:42:00.196758,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,46,b,1785685319.384,1785685320.132,0.747,0.7528,0.3764,2.0,orphan candidate on detector '46' not registered: pulse 0.747s < gate 0.753s
1785685320.503,2026-08-02 09:42:00.502636,201,below_sampling_floor,rule2_orphan_pulse,26:33,33,26,radar,video,33,a,1785685320.132,1785685320.500,0.368,0.7528,0.3764,2.0,orphan candidate on detector '33' not registered: pulse 0.368s < gate 0.753s
1785685322.115,2026-08-02 09:42:02.114882,201,below_sampling_floor,rule2_orphan_pulse,17:46,46,17,radar,video,46,a,1785685321.287,1785685322.035,0.748,0.7528,0.3764,2.0,orphan candidate on detector '46' not registered: pulse 0.748s < gate 0.753s
1785685322.118,2026-08-02 09:42:02.117933,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,46,b,1785685321.287,1785685322.035,0.748,0.7528,0.3764,2.0,orphan candidate on detector '46' not registered: pulse 0.748s < gate 0.753s
1785685323.228,2026-08-02 09:42:03.228317,201,below_sampling_floor,rule2_orphan_pulse,17:2,17,2,video,video,2,b,1785685322.400,1785685323.136,0.737,0.7528,0.3764,2.0,orphan candidate on detector '2' not registered: pulse 0.737s < gate 0.753s
1785685323.231,2026-08-02 09:42:03.231333,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,2,a,1785685322.400,1785685323.136,0.737,0.7528,0.3764,2.0,orphan candidate on detector '2' not registered: pulse 0.737s < gate 0.753s
1785685328.884,2026-08-02 09:42:08.884306,201,below_sampling_floor,rule2_orphan_pulse,17:46,46,17,radar,video,46,a,1785685328.475,1785685328.839,0.364,0.7528,0.3764,2.0,orphan candidate on detector '46' not registered: pulse 0.364s < gate 0.753s
1785685328.887,2026-08-02 09:42:08.886899,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,46,b,1785685328.475,1785685328.839,0.364,0.7528,0.3764,2.0,orphan candidate on detector '46' not registered: pulse 0.364s < gate 0.753s
