timestamp,iso_local,detector,event_code,event
1784504208.801,2026-07-19 17:36:48.801,1,0,init_off
1784504208.801,2026-07-19 17:36:48.801,2,0,init_off
1784504208.801,2026-07-19 17:36:48.801,3,0,init_on
1784504208.801,2026-07-19 17:36:48.801,4,0,init_off
1784504208.801,2026-07-19 17:36:48.801,5,0,init_off
1784504208.801,2026-07-19 17:36:48.801,6,0,init_off
1784504208.801,2026-07-19 17:36:48.801,7,0,init_off
1784504208.801,2026-07-19 17:36:48.801,8,0,init_off
1784504208.928,2026-07-19 17:36:48.928,9,0,init_off
1784504208.928,2026-07-19 17:36:48.928,10,0,init_off
1784504208.928,2026-07-19 17:36:48.928,11,0,init_off
1784504208.928,2026-07-19 17:36:48.928,12,0,init_off
1784504208.928,2026-07-19 17:36:48.928,13,0,init_off
1784504208.928,2026-07-19 17:36:48.928,14,0,init_off
1784504208.928,2026-07-19 17:36:48.928,15,0,init_off
1784504208.928,2026-07-19 17:36:48.928,16,0,init_off
1784504209.055,2026-07-19 17:36:49.055,17,0,init_off
1784504209.055,2026-07-19 17:36:49.055,18,0,init_off
1784504209.055,2026-07-19 17:36:49.055,19,0,init_off
1784504209.055,2026-07-19 17:36:49.055,20,0,init_off
1784504209.055,2026-07-19 17:36:49.055,21,0,init_off
1784504209.055,2026-07-19 17:36:49.055,22,0,init_off
1784504209.055,2026-07-19 17:36:49.055,23,0,init_off
1784504209.055,2026-07-19 17:36:49.055,24,0,init_off
1784504209.176,2026-07-19 17:36:49.175,25,0,init_off
1784504209.176,2026-07-19 17:36:49.175,26,0,init_on
1784504209.176,2026-07-19 17:36:49.175,27,0,init_off
1784504209.176,2026-07-19 17:36:49.175,28,0,init_off
1784504209.176,2026-07-19 17:36:49.175,29,0,init_off
1784504209.176,2026-07-19 17:36:49.175,30,0,init_off
1784504209.176,2026-07-19 17:36:49.175,31,0,init_off
1784504209.176,2026-07-19 17:36:49.175,32,0,init_off
1784504209.319,2026-07-19 17:36:49.319,33,0,init_on
1784504209.319,2026-07-19 17:36:49.319,34,0,init_on
1784504209.319,2026-07-19 17:36:49.319,35,0,init_off
1784504209.319,2026-07-19 17:36:49.319,36,0,init_off
1784504209.319,2026-07-19 17:36:49.319,37,0,init_off
1784504209.319,2026-07-19 17:36:49.319,38,0,init_off
1784504209.319,2026-07-19 17:36:49.319,39,0,init_off
1784504209.319,2026-07-19 17:36:49.319,40,0,init_off
1784504209.447,2026-07-19 17:36:49.447,41,0,init_off
1784504209.447,2026-07-19 17:36:49.447,42,0,init_on
1784504209.447,2026-07-19 17:36:49.447,43,0,init_off
1784504209.447,2026-07-19 17:36:49.447,44,0,init_off
1784504209.447,2026-07-19 17:36:49.447,45,0,init_off
1784504209.447,2026-07-19 17:36:49.447,46,0,init_off
1784504209.447,2026-07-19 17:36:49.447,47,0,init_off
1784504209.447,2026-07-19 17:36:49.447,48,0,init_off
1784504209.559,2026-07-19 17:36:49.559,49,0,init_off
1784504209.559,2026-07-19 17:36:49.559,50,0,init_off
1784504209.559,2026-07-19 17:36:49.559,51,0,init_off
1784504209.559,2026-07-19 17:36:49.559,52,0,init_off
1784504209.559,2026-07-19 17:36:49.559,53,0,init_off
1784504209.559,2026-07-19 17:36:49.559,54,0,init_off
1784504209.559,2026-07-19 17:36:49.559,55,0,init_off
1784504209.559,2026-07-19 17:36:49.559,56,0,init_off
1784504209.692,2026-07-19 17:36:49.692,57,0,init_off
1784504209.692,2026-07-19 17:36:49.692,58,0,init_off
1784504209.692,2026-07-19 17:36:49.692,59,0,init_off
1784504209.692,2026-07-19 17:36:49.692,60,0,init_off
1784504209.692,2026-07-19 17:36:49.692,61,0,init_off
1784504209.692,2026-07-19 17:36:49.692,62,0,init_off
1784504209.692,2026-07-19 17:36:49.692,63,0,init_off
