type,points,color,input,phase,direction,video_width,video_height
stopbar,"470,537;529,511","0,0,0",,4,,720,720
stopbar,"356,310;470,300","0,0,0",,8,,720,720
stopbar,"327,53;337,50","0,0,0",,OLC,,720,720
stopbar,"188,466;192,522","0,0,0",,OLB,,720,720
stopbar,"590,303;600,348","0,0,0",,OLF,,720,720
stopbar,"459,553;429,558","0,0,0",,OLD,,720,720
stopbar,"429,558;434,547","0,0,0",,OLD,,720,720
stopbar,"429,557;441,565","0,0,0",,OLD,,720,720
stopbar,"429,579;466,568","0,0,0",,7,,720,720
loop,"429,579;431,628;441,628;438,581","255,0,0",38,,,720,720
loop,"414,529;441,528;442,545;415,546","255,0,0",40,,,720,720
loop,"462,539;487,528;470,611;458,614","255,0,0",39,,,720,720
loop,"515,479;542,473;540,499;513,505","255,0,0",42,,,720,720
loop,"594,357;637,321;634,316;589,347","255,0,0",33,,,720,720
loop,"585,349;591,362;574,368;568,355","255,0,0",43,,,720,720
loop,"535,305;512,307;511,290;534,288","255,0,0",45,,,720,720
loop,"249,512;280,515;277,533;246,530","255,0,0",60,,,720,720
loop,"323,539;349,539;349,560;323,560","255,0,0",61,,,720,720
loop,"131,501;235,525;238,504;132,491","255,0,0",46,,,720,720
loop,"30,419;37,430;40,423;33,412","255,0,0",47,,,720,720
loop,"18,393;20,387;14,387;12,393","255,0,0",48,,,720,720
loop,"325,52;315,51;317,47;327,48","255,0,0",53,,,720,720
loop,"355,74;408,231;425,228;370,71","255,0,0",51,,,720,720
loop,"383,68;444,231;467,232;397,75","255,0,0",52,,,720,720
loop,"373,301;464,297;455,258;399,261","255,0,0",55,,,720,720
loop,"653,295;661,304;664,297;656,288","255,0,0",34,,,720,720
loop,"663,286;668,292;670,285;665,279","255,0,0",35,,,720,720
loop,"670,274;673,278;673,273;670,269","255,0,0",36,,,720,720
loop,"129,482;234,500;234,468;125,466","0,0,255",17,,,720,720
loop,"438,578;443,632;455,626;449,576","0,0,255",24,,,720,720
loop,"487,532;471,612;485,610;516,518","0,0,255",22,,,720,720
loop,"586,342;632,314;628,307;582,326","0,0,255",26,,,720,720
loop,"409,216;417,295;455,297;441,215","0,0,255",31,,,720,720
loop,"379,46;386,47;386,40;379,39","0,0,255",12,,,720,720
loop,"319,48;328,48;326,42;317,42","0,0,255",9,,,720,720
loop,"397,75;467,236;492,237;409,75","0,0,255",11,,,720,720
loop,"425,226;369,69;379,67;444,231","0,0,255",13,,,720,720
